,location_id,rank,true product,true product's sales,predicted product,predicted product's true sales,predicted product's true rank,predicted product sells at fraction of locations,predicted product's average rank at locations selling it
0,"""01aa6102-a054-4f25-a747-a39a4ea86769""",1,Lofnac Tablets x10,40.0,Danacid Tablets x96,,,0.24,69
1,"""01aa6102-a054-4f25-a747-a39a4ea86769""",2,Lofnac Plus Tablets x10,40.0,Ibucap Forte Capsule x10,10.0,13,0.23,57
2,"""01aa6102-a054-4f25-a747-a39a4ea86769""",3,Syrup Paracetamol 125mg/5ml (Emzor),20.0,Calcimax Tablets x30,,,0.19,82
3,"""01aa6102-a054-4f25-a747-a39a4ea86769""",4,Amalar 500/25mg Tablets x3,20.0,Lofnac Tablets x10,40.0,1,0.35,41
4,"""01aa6102-a054-4f25-a747-a39a4ea86769""",5,Solotone Tab x30,18.0,Bonababe Syrup,12.0,10,0.55,35
5,"""01aa6102-a054-4f25-a747-a39a4ea86769""",6,Vamacap Capsules x20,18.0,Fesulf Satchet x100,4.0,53,0.12,68
6,"""01aa6102-a054-4f25-a747-a39a4ea86769""",7,Tab Paracetamol (M&B) 500mg x96,15.0,Panda Paracetamol 15ml Drops,10.0,12,0.52,61
7,"""01aa6102-a054-4f25-a747-a39a4ea86769""",8,Sudrex 500mg/30mg Tablets x20,14.0,Orheptal Tonic 300ml,3.0,70,0.12,81
8,"""01aa6102-a054-4f25-a747-a39a4ea86769""",9,Swidar 500/25mg x3,12.0,Tuxil D Children Cough Syrup,2.0,94,0.23,88
9,"""01aa6102-a054-4f25-a747-a39a4ea86769""",10,Bonababe Syrup,12.0,Panadol Extra,2.0,84,0.54,65
10,"""01aa6102-a054-4f25-a747-a39a4ea86769""",11,Curefenac 100mg,11.0,Tuxil-N Syrup Child 100ml,2.0,95,0.23,73
11,"""01aa6102-a054-4f25-a747-a39a4ea86769""",12,Panda Paracetamol 15ml Drops,10.0,Emzolyn Cough Syrup Child,2.0,91,0.41,64
12,"""01aa6102-a054-4f25-a747-a39a4ea86769""",13,Ibucap Forte Capsule x10,10.0,Piscof Syrup,3.0,74,0.08,53
13,"""01aa6102-a054-4f25-a747-a39a4ea86769""",14,Tutolin Children Cough Syrup x100ml,10.0,Lofnac Plus Tablets x10,40.0,2,0.29,62
14,"""01aa6102-a054-4f25-a747-a39a4ea86769""",15,Vamirex Syrup 100ml,10.0,Cypri Gold Capsule x30,1.0,124,0.19,131
15,"""01aa6102-a054-4f25-a747-a39a4ea86769""",16,Neoskin Triple Action Cream 30g,9.0,Ibucap x20,,,0.17,26
16,"""01aa6102-a054-4f25-a747-a39a4ea86769""",17,Tuyil Paracetamol 500mg Tablets x96,9.0,Nelbcam Piroxicam,4.0,51,0.08,69
17,"""01aa6102-a054-4f25-a747-a39a4ea86769""",18,Yeast Tablets x100,8.0,NGC Cough Syrup (Adult) x100ml,1.0,116,0.4,61
18,"""01aa6102-a054-4f25-a747-a39a4ea86769""",19,Prednisolone 5mg Tablets,8.0,Babyrex Baby Mixture x60ml,6.0,25,0.41,52
19,"""01aa6102-a054-4f25-a747-a39a4ea86769""",20,Curefenac 50mg,8.0,Alabukun (Powder)  - 1x10 Pack,1.0,128,0.31,100
20,"""01aa6102-a054-4f25-a747-a39a4ea86769""",21,M&B Paracetamol Syrup 1 X 60ml Bottle,7.0,Tab Boska x20,,,0.33,53
21,"""01aa6102-a054-4f25-a747-a39a4ea86769""",22,Bunto Blood Tonic 100ml,7.0,Emzolyn Cough Syrup Adult,3.0,63,0.49,48
22,"""01aa6102-a054-4f25-a747-a39a4ea86769""",23,Gestid 100ml Suspension,6.0,Tuxil N Adult Cough Syrup,3.0,66,0.19,83
23,"""01aa6102-a054-4f25-a747-a39a4ea86769""",24,Pyrantrin Tablet x6,6.0,Pyrantrin 15ml Suspension,4.0,44,0.27,76
24,"""01aa6102-a054-4f25-a747-a39a4ea86769""",25,Babyrex Baby Mixture x60ml,6.0,Solotone Tab x30,18.0,5,0.3,103
