,location_id,rank,true product,true product's sold_count,predicted new product
0,"""01aa6102-a054-4f25-a747-a39a4ea86769""",1,Lofnac Tablets x10,40,Calcimax Tablets x30
1,"""01aa6102-a054-4f25-a747-a39a4ea86769""",2,Lofnac Plus Tablets x10,40,Ibucap x20
2,"""01aa6102-a054-4f25-a747-a39a4ea86769""",3,Syrup Paracetamol 125mg/5ml (Emzor),20,Karaole Powder x10
3,"""01aa6102-a054-4f25-a747-a39a4ea86769""",4,Amalar 500/25mg Tablets x3,20,Tab Boska x20
4,"""01aa6102-a054-4f25-a747-a39a4ea86769""",5,Solotone Tab x30,18,Danacid Tablets x96
5,"""01aa6102-a054-4f25-a747-a39a4ea86769""",6,Vamacap Capsules x20,18,Passion Powder
6,"""01aa6102-a054-4f25-a747-a39a4ea86769""",7,Tab Paracetamol (M&B) 500mg x96,15,Brustan-N 100mg/5ml Suspension x100ml
7,"""01aa6102-a054-4f25-a747-a39a4ea86769""",8,Sudrex 500mg/30mg Tablets x20,14,Chemiron Capsules
8,"""01aa6102-a054-4f25-a747-a39a4ea86769""",9,Swidar 500/25mg x3,12,Bunto blood Tonic x300ml
9,"""01aa6102-a054-4f25-a747-a39a4ea86769""",10,Bonababe Syrup,12,P-Alaxin 40/320mg Tablets x9
10,"""01aa6102-a054-4f25-a747-a39a4ea86769""",11,Curefenac 100mg,11,Methylated Spirit 100ml
11,"""01aa6102-a054-4f25-a747-a39a4ea86769""",12,Panda Paracetamol 15ml Drops,10,NGC Cough Syrup (Child) x100ml
12,"""01aa6102-a054-4f25-a747-a39a4ea86769""",13,Ibucap Forte Capsule x10,10,MIM Tonic 300ml
13,"""01aa6102-a054-4f25-a747-a39a4ea86769""",14,Tutolin Children Cough Syrup x100ml,10,Pentax Plus 4 Tablets x5
14,"""01aa6102-a054-4f25-a747-a39a4ea86769""",15,Vamirex Syrup 100ml,10,Cenpain Night
15,"""01aa6102-a054-4f25-a747-a39a4ea86769""",16,Neoskin Triple Action Cream 30g,9,Tutolin Cough and Cold Syrup
16,"""01aa6102-a054-4f25-a747-a39a4ea86769""",17,Tuyil Paracetamol 500mg Tablets x96,9,Kiss Condoms
17,"""01aa6102-a054-4f25-a747-a39a4ea86769""",18,Yeast Tablets x100,8,Calcimax 100ml Suspension
18,"""01aa6102-a054-4f25-a747-a39a4ea86769""",19,Prednisolone 5mg Tablets,8,10 Keys Bembe Herbal Mixture 
19,"""01aa6102-a054-4f25-a747-a39a4ea86769""",20,Curefenac 50mg,8,Cypri Gold 100ml Syrup
20,"""01aa6102-a054-4f25-a747-a39a4ea86769""",21,M&B Paracetamol Syrup 1 X 60ml Bottle,7,Loratadine (Afrab) Syrup 60ml
21,"""01aa6102-a054-4f25-a747-a39a4ea86769""",22,Bunto Blood Tonic 100ml,7,Tab Mixagrip
22,"""01aa6102-a054-4f25-a747-a39a4ea86769""",23,Gestid 100ml Suspension,6,Whitfield's Ointment 20g
23,"""01aa6102-a054-4f25-a747-a39a4ea86769""",24,Pyrantrin Tablet x6,6,Astyfer Tonic x200ml
24,"""01aa6102-a054-4f25-a747-a39a4ea86769""",25,Babyrex Baby Mixture x60ml,6,Cod Liver Oil 1000mg Soft Gel Capsule 30
25,"""01aa6102-a054-4f25-a747-a39a4ea86769""",26,Swifen Suspension 100ml,6,Coartem 80/480mg Tablets x6
26,"""01aa6102-a054-4f25-a747-a39a4ea86769""",27,Grenocid Suspension,6,Cencold Syrup Tuyil
27,"""01aa6102-a054-4f25-a747-a39a4ea86769""",28,Visita Plus 30g Cream,6,Maxiquine 100ml Syrup
28,"""01aa6102-a054-4f25-a747-a39a4ea86769""",29,Orheptal Tonic 100ml,6,7 Keys Herbal Mixture 200ml
29,"""01aa6102-a054-4f25-a747-a39a4ea86769""",30,Peace Tonic 200ml,6,Tribotan Adult
30,"""01aa6102-a054-4f25-a747-a39a4ea86769""",31,Zolat 100mg/5ml Suspension x20ml,5,Tuxil D Adult 100ml Cough Syrup
31,"""01aa6102-a054-4f25-a747-a39a4ea86769""",32,Nospamin Drops,5,Maxiquine Tablets x 10
32,"""01aa6102-a054-4f25-a747-a39a4ea86769""",33,Codolin 100ml Cough Syrup,5,Bonadol 100ml Syrup
33,"""01aa6102-a054-4f25-a747-a39a4ea86769""",34,Vatem 20/120 x 24 Tablets,5,Lonart DS 80/480mg Tablets x6
34,"""01aa6102-a054-4f25-a747-a39a4ea86769""",35,Vatem 80/480mg Tablets x6,5,Camosunate Children 150mg/50mg Tablets (1-6years) x6
35,"""01aa6102-a054-4f25-a747-a39a4ea86769""",36,Tumol 500 10 x 10 Caplets,5,Neurogesic Ointment 35g
36,"""01aa6102-a054-4f25-a747-a39a4ea86769""",37,Ytacan  25g Cream,5,Levofem Tablets
37,"""01aa6102-a054-4f25-a747-a39a4ea86769""",38,Derosa Blood Tonic 200ml,5,Fidson Paracetamol 60ml Syrup
38,"""01aa6102-a054-4f25-a747-a39a4ea86769""",39,Sumo Active Syrup 200ml,5,Vemfem Tablets x 10
39,"""01aa6102-a054-4f25-a747-a39a4ea86769""",40,Brustan-N 60ml Syrup,4,Bonakoff 100ml Expectorant
40,"""01aa6102-a054-4f25-a747-a39a4ea86769""",41,Lonart 20/120mg Tablets x24,4,Dexorange 200ml Syrup
41,"""01aa6102-a054-4f25-a747-a39a4ea86769""",42,Zolat 200mg Tablets x2,4,Glucose D Sachet x 10
42,"""01aa6102-a054-4f25-a747-a39a4ea86769""",43,Oceanic Cod Liver Oil 1000mg Capsules x30,4,Diastop 100ml Suspension 
43,"""01aa6102-a054-4f25-a747-a39a4ea86769""",44,Pyrantrin 15ml Suspension,4,Ranferon-12 200ml Syrup
44,"""01aa6102-a054-4f25-a747-a39a4ea86769""",45,Arenax Plus 20/120 x6 Tablets,4,Em-B-Plex 100ml Syrup
45,"""01aa6102-a054-4f25-a747-a39a4ea86769""",46,Amatem 20/120mg x24 Softgels,4,Gestid Tablets x20
46,"""01aa6102-a054-4f25-a747-a39a4ea86769""",47,Vamiron Capsule x30,4,ABF-3 Cream 20g
47,"""01aa6102-a054-4f25-a747-a39a4ea86769""",48,Gecrol 1 x 100ml Suspension,4,Neurogesic Extra - 1x25g Ointment
48,"""01aa6102-a054-4f25-a747-a39a4ea86769""",49,Gecrol Suspension 200ml,4,Hydrogen Peroxide 200ml
49,"""01aa6102-a054-4f25-a747-a39a4ea86769""",50,Pain Go,4,PowerHeat
50,"""01aa6102-a054-4f25-a747-a39a4ea86769""",51,Nelbcam Piroxicam,4,Omega H3 Capsules x30
51,"""01aa6102-a054-4f25-a747-a39a4ea86769""",52,MIM Capsules x30,4,Nocof 15ml Drops
52,"""01aa6102-a054-4f25-a747-a39a4ea86769""",53,Fesulf Satchet x100,4,Tab Brustan-N
