,location_id,rank,true product,true product's sales,predicted product,predicted product's true sales,predicted product's true rank,predicted product sells at fraction of locations,predicted product's average rank at locations selling it
0,"""01aa6102-a054-4f25-a747-a39a4ea86769""",1,Lofnac Tablets x10,40.0,Tumol 500 10 x 10 Caplets,5.0,36,0.03,72
1,"""01aa6102-a054-4f25-a747-a39a4ea86769""",2,Lofnac Plus Tablets x10,40.0,Vitamin C Syrup ,2.0,106,0.03,49
2,"""01aa6102-a054-4f25-a747-a39a4ea86769""",3,Syrup Paracetamol 125mg/5ml (Emzor),20.0,Piscof Syrup,3.0,74,0.08,53
3,"""01aa6102-a054-4f25-a747-a39a4ea86769""",4,Amalar 500/25mg Tablets x3,20.0,Alabukun (Powder)  - 1x10 Pack,1.0,128,0.31,100
4,"""01aa6102-a054-4f25-a747-a39a4ea86769""",5,Solotone Tab x30,18.0,Emzolyn Cough Syrup Child,2.0,91,0.41,64
5,"""01aa6102-a054-4f25-a747-a39a4ea86769""",6,Vamacap Capsules x20,18.0,Fesulf Satchet x100,4.0,53,0.12,68
6,"""01aa6102-a054-4f25-a747-a39a4ea86769""",7,Tab Paracetamol (M&B) 500mg x96,15.0,Nelbcam Piroxicam,4.0,51,0.08,69
7,"""01aa6102-a054-4f25-a747-a39a4ea86769""",8,Sudrex 500mg/30mg Tablets x20,14.0,Karaole Powder x10,,,0.02,72
8,"""01aa6102-a054-4f25-a747-a39a4ea86769""",9,Swidar 500/25mg x3,12.0,Orheptal Tonic 300ml,3.0,70,0.12,81
9,"""01aa6102-a054-4f25-a747-a39a4ea86769""",10,Bonababe Syrup,12.0,Vamiron Capsule x30,4.0,47,0.02,65
10,"""01aa6102-a054-4f25-a747-a39a4ea86769""",11,Curefenac 100mg,11.0,NGC Cough Syrup (Adult) x100ml,1.0,116,0.4,61
11,"""01aa6102-a054-4f25-a747-a39a4ea86769""",12,Panda Paracetamol 15ml Drops,10.0,NGC Cough Syrup (Child) x100ml,,,0.34,72
12,"""01aa6102-a054-4f25-a747-a39a4ea86769""",13,Ibucap Forte Capsule x10,10.0,Passion Powder,,,0.02,76
13,"""01aa6102-a054-4f25-a747-a39a4ea86769""",14,Tutolin Children Cough Syrup x100ml,10.0,Vamacap Capsules x20,18.0,6,0.02,31
14,"""01aa6102-a054-4f25-a747-a39a4ea86769""",15,Vamirex Syrup 100ml,10.0,Lofnac Tablets x10,40.0,1,0.35,41
15,"""01aa6102-a054-4f25-a747-a39a4ea86769""",16,Neoskin Triple Action Cream 30g,9.0,Contact Cold Capsule,2.0,110,0.14,74
16,"""01aa6102-a054-4f25-a747-a39a4ea86769""",17,Tuyil Paracetamol 500mg Tablets x96,9.0,Bunto Blood Caps x100,2.0,88,0.28,76
17,"""01aa6102-a054-4f25-a747-a39a4ea86769""",18,Yeast Tablets x100,8.0,Vitamin C Tab x 100 Coloured,3.0,73,0.02,78
18,"""01aa6102-a054-4f25-a747-a39a4ea86769""",19,Prednisolone 5mg Tablets,8.0,Orheptal Tonic 100ml,6.0,29,0.1,86
19,"""01aa6102-a054-4f25-a747-a39a4ea86769""",20,Curefenac 50mg,8.0,Emzolyn Cough Syrup Adult,3.0,63,0.49,48
20,"""01aa6102-a054-4f25-a747-a39a4ea86769""",21,M&B Paracetamol Syrup 1 X 60ml Bottle,7.0,Codolin 100ml Cough Syrup,5.0,33,0.11,38
21,"""01aa6102-a054-4f25-a747-a39a4ea86769""",22,Bunto Blood Tonic 100ml,7.0,Bunto blood Tonic x300ml,,,0.28,74
22,"""01aa6102-a054-4f25-a747-a39a4ea86769""",23,Gestid 100ml Suspension,6.0,Pyrantrin Tablet x6,6.0,24,0.43,38
23,"""01aa6102-a054-4f25-a747-a39a4ea86769""",24,Pyrantrin Tablet x6,6.0,Coflin Cough Linctus x100ml,2.0,86,0.37,66
24,"""01aa6102-a054-4f25-a747-a39a4ea86769""",25,Babyrex Baby Mixture x60ml,6.0,Sudrex 500mg/30mg Tablets x20,14.0,8,0.1,53
25,"""01aa6102-a054-4f25-a747-a39a4ea86769""",26,Swifen Suspension 100ml,6.0,Calcimax Tablets x30,,,0.19,82
26,"""01aa6102-a054-4f25-a747-a39a4ea86769""",27,Grenocid Suspension,6.0,Curefenac 50mg,8.0,20,0.07,57
27,"""01aa6102-a054-4f25-a747-a39a4ea86769""",28,Visita Plus 30g Cream,6.0,Tab Boska x20,,,0.33,53
28,"""01aa6102-a054-4f25-a747-a39a4ea86769""",29,Orheptal Tonic 100ml,6.0,Vamirex Syrup 100ml,10.0,15,0.03,106
29,"""01aa6102-a054-4f25-a747-a39a4ea86769""",30,Peace Tonic 200ml,6.0,Gecrol Suspension 200ml,4.0,49,0.02,74
30,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",1,Ibucap x20,5.0,Cenpain Night,1.0,38,0.26,70
31,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",2,Lofnac Tablets x10,5.0,Meyer's B-Complex Tabs x100,2.0,21,0.24,84
32,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",3,Nutravit Syrup 100ml,5.0,Gvither Plus Tablets,1.0,66,0.06,50
33,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",4,Chlorpheniramine 10mg/ml Injection x10,5.0,CAC 1000 Sandoz Effervescent Tablets,,,0.26,114
34,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",5,Fleming 1000mg x14,4.0,De-Deon's Syrup 150ml,1.0,45,0.3,78
35,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",6,Imodium 2mg Capsules x6,4.0,Bunto Blood Caps x100,,,0.28,76
36,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",7,Zentel 200mg Tablets x2,3.0,Orphesic x100 Tablets,2.0,26,0.05,109
37,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",8,Woodward's Gripe Water (Big Size) 150ml,3.0,De-Deon's Syrup 280ml,,,0.36,53
38,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",9,Actifed Tablets,3.0,Folic acid + B12 Tablets (Dr Meyer's) x100,,,0.12,47
39,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",10,Zinnat Tablets 500mg x10,3.0,Ibucap x20,5.0,1,0.17,26
40,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",11,K-Y Jelly 50g,3.0,Camosunate Children 150mg/50mg Tablets (1-6years) x6,,,0.43,31
41,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",12,Lincomman Capsules x12,3.0,M&B Paracetamol Syrup 1 X 60ml Bottle,,,0.39,35
42,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",13,Hovimax 250mg Tablets x6,3.0,Emzor Paracetamol 500mg Tablets x96,,,0.42,36
43,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",14,Ascomed Vitamin C 100mg (Chewable) Tablets x100,3.0,Ferrotogen Tonic 200ml,,,0.12,87
44,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",15,Lonart DS 80/480mg Tablets x6,2.0,Meprasil x20,,,0.19,54
45,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",16,Coflin Cough Linctus x100ml,2.0,Erythromicin 500mg tablets,,,0.28,64
46,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",17,Gynaecocid Tabs,2.0,Vasoprin 75mg Tablets x100,,,0.33,67
47,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",18,Coartem 20/120mg x6 Tablets,2.0,Plagerine 75mg Tabs x30,,,0.15,120
48,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",19,Lokmal QS Combi,2.0,Spartan C 100mg Tablets (White) x100,,,0.05,25
49,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",20,Wellwoman Original Tablets x30,2.0,Danacid Tablets x96,1.0,44,0.24,69
50,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",21,Meyer's B-Complex Tabs x100,2.0,Pocco Amlodipine 10mg Tablets x28,,,0.16,53
51,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",22,Lofnac Plus Tablets x10,2.0,Postinor 2,,,0.41,32
52,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",23,Neurovite Forte Tablet x100,2.0,Betawoman x30,,,0.11,102
53,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",24,Anorol 10x10 Tab,2.0,Fortified Procaine Penicillin -x10 Vials,1.0,69,0.04,156
54,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",25,Dermazin Cream 50g Cream,2.0,Ampiclox (Unbranded) 500mg Capsules x100,,,0.24,98
55,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",26,Orphesic x100 Tablets,2.0,Nature's Field Vitamin C 1000mg Tablets 1x10x10,2.0,29,0.04,148
56,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",27,Biocine 500mg Capsules x20,2.0,Ascomed Vitamin C 100mg (Chewable) Tablets x100,3.0,14,0.05,42
57,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",28,Rophegan Promethazine 100ml Syrup,2.0,Lisinopril 10mg (Pocco) Tablets  x28,,,0.11,78
58,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",29,Nature's Field Vitamin C 1000mg Tablets 1x10x10,2.0,Ciprotab 500mg Tablets x10,,,0.39,37
59,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",30,Syrup Paracetamol 125mg/5ml (Emzor),1.0,Bunto blood Tonic x300ml,,,0.28,74
60,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",1,Gold Circle (Old) x24,79.0,Swidar 500/25mg x3,15.0,32,0.4,42
61,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",2,Aboniki Balm,79.0,Loratadine (Afrab) Syrup 60ml,,,0.35,74
62,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",3,Tab Sudrex 500mg/30mg,61.0,Panadol (Regular) 500mg 10x10,,,0.42,66
63,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",4,Bonababe Syrup,55.0,EmVite Multivitamin Syrup x100ml,12.0,39,0.29,82
64,"""01cdce0f-96cb-4706-8eb5-ca1c3e52cee2""",5,Lofnac Tablets x10,50.0,Syrup Paracetamol 125mg/5ml (Emzor),19.0,23,0.47,40
