,location_id,rank,true product,true product's sales,predicted product,predicted product's true sales,predicted product's true rank
0,"""01aa6102-a054-4f25-a747-a39a4ea86769""",1,Lofnac Tablets x10,40.0,Tumol 500 10 x 10 Caplets,5.0,36
1,"""01aa6102-a054-4f25-a747-a39a4ea86769""",2,Lofnac Plus Tablets x10,40.0,Vitamin C Syrup ,2.0,106
2,"""01aa6102-a054-4f25-a747-a39a4ea86769""",3,Syrup Paracetamol 125mg/5ml (Emzor),20.0,Piscof Syrup,3.0,74
3,"""01aa6102-a054-4f25-a747-a39a4ea86769""",4,Amalar 500/25mg Tablets x3,20.0,Alabukun (Powder)  - 1x10 Pack,1.0,128
4,"""01aa6102-a054-4f25-a747-a39a4ea86769""",5,Solotone Tab x30,18.0,Emzolyn Cough Syrup Child,2.0,91
5,"""01aa6102-a054-4f25-a747-a39a4ea86769""",6,Vamacap Capsules x20,18.0,Fesulf Satchet x100,4.0,53
6,"""01aa6102-a054-4f25-a747-a39a4ea86769""",7,Tab Paracetamol (M&B) 500mg x96,15.0,Nelbcam Piroxicam,4.0,51
7,"""01aa6102-a054-4f25-a747-a39a4ea86769""",8,Sudrex 500mg/30mg Tablets x20,14.0,Karaole Powder x10,,
8,"""01aa6102-a054-4f25-a747-a39a4ea86769""",9,Swidar 500/25mg x3,12.0,Orheptal Tonic 300ml,3.0,70
9,"""01aa6102-a054-4f25-a747-a39a4ea86769""",10,Bonababe Syrup,12.0,Vamiron Capsule x30,4.0,47
10,"""01aa6102-a054-4f25-a747-a39a4ea86769""",11,Curefenac 100mg,11.0,NGC Cough Syrup (Adult) x100ml,1.0,116
11,"""01aa6102-a054-4f25-a747-a39a4ea86769""",12,Panda Paracetamol 15ml Drops,10.0,NGC Cough Syrup (Child) x100ml,,
12,"""01aa6102-a054-4f25-a747-a39a4ea86769""",13,Ibucap Forte Capsule x10,10.0,Passion Powder,,
13,"""01aa6102-a054-4f25-a747-a39a4ea86769""",14,Tutolin Children Cough Syrup x100ml,10.0,Vamacap Capsules x20,18.0,6
14,"""01aa6102-a054-4f25-a747-a39a4ea86769""",15,Vamirex Syrup 100ml,10.0,Lofnac Tablets x10,40.0,1
15,"""01aa6102-a054-4f25-a747-a39a4ea86769""",16,Neoskin Triple Action Cream 30g,9.0,Contact Cold Capsule,2.0,110
16,"""01aa6102-a054-4f25-a747-a39a4ea86769""",17,Tuyil Paracetamol 500mg Tablets x96,9.0,Bunto Blood Caps x100,2.0,88
17,"""01aa6102-a054-4f25-a747-a39a4ea86769""",18,Yeast Tablets x100,8.0,Vitamin C Tab x 100 Coloured,3.0,73
18,"""01aa6102-a054-4f25-a747-a39a4ea86769""",19,Prednisolone 5mg Tablets,8.0,Orheptal Tonic 100ml,6.0,29
19,"""01aa6102-a054-4f25-a747-a39a4ea86769""",20,Curefenac 50mg,8.0,Emzolyn Cough Syrup Adult,3.0,63
20,"""01aa6102-a054-4f25-a747-a39a4ea86769""",21,M&B Paracetamol Syrup 1 X 60ml Bottle,7.0,Codolin 100ml Cough Syrup,5.0,33
21,"""01aa6102-a054-4f25-a747-a39a4ea86769""",22,Bunto Blood Tonic 100ml,7.0,Bunto blood Tonic x300ml,,
22,"""01aa6102-a054-4f25-a747-a39a4ea86769""",23,Gestid 100ml Suspension,6.0,Pyrantrin Tablet x6,6.0,24
23,"""01aa6102-a054-4f25-a747-a39a4ea86769""",24,Pyrantrin Tablet x6,6.0,Coflin Cough Linctus x100ml,2.0,86
24,"""01aa6102-a054-4f25-a747-a39a4ea86769""",25,Babyrex Baby Mixture x60ml,6.0,Sudrex 500mg/30mg Tablets x20,14.0,8
25,"""01aa6102-a054-4f25-a747-a39a4ea86769""",26,Swifen Suspension 100ml,6.0,Calcimax Tablets x30,,
26,"""01aa6102-a054-4f25-a747-a39a4ea86769""",27,Grenocid Suspension,6.0,Curefenac 50mg,8.0,20
27,"""01aa6102-a054-4f25-a747-a39a4ea86769""",28,Visita Plus 30g Cream,6.0,Tab Boska x20,,
28,"""01aa6102-a054-4f25-a747-a39a4ea86769""",29,Orheptal Tonic 100ml,6.0,Vamirex Syrup 100ml,10.0,15
29,"""01aa6102-a054-4f25-a747-a39a4ea86769""",30,Peace Tonic 200ml,6.0,Gecrol Suspension 200ml,4.0,49
30,"""01aa6102-a054-4f25-a747-a39a4ea86769""",31,Zolat 100mg/5ml Suspension x20ml,5.0,Lofnac Plus Tablets x10,40.0,2
31,"""01aa6102-a054-4f25-a747-a39a4ea86769""",32,Nospamin Drops,5.0,Ors G Oral,3.0,58
32,"""01aa6102-a054-4f25-a747-a39a4ea86769""",33,Codolin 100ml Cough Syrup,5.0,Peace Tonic 100ml,2.0,111
33,"""01aa6102-a054-4f25-a747-a39a4ea86769""",34,Vatem 20/120 x 24 Tablets,5.0,Ibucap x20,,
34,"""01aa6102-a054-4f25-a747-a39a4ea86769""",35,Vatem 80/480mg Tablets x6,5.0,Babyrex Baby Mixture x60ml,6.0,25
35,"""01aa6102-a054-4f25-a747-a39a4ea86769""",36,Tumol 500 10 x 10 Caplets,5.0,Monomin Tonic 200ml,2.0,105
36,"""01aa6102-a054-4f25-a747-a39a4ea86769""",37,Ytacan  25g Cream,5.0,Pain Go,4.0,50
37,"""01aa6102-a054-4f25-a747-a39a4ea86769""",38,Derosa Blood Tonic 200ml,5.0,Tuyil Paracetamol 500mg Tablets x96,9.0,17
38,"""01aa6102-a054-4f25-a747-a39a4ea86769""",39,Sumo Active Syrup 200ml,5.0,Panadol Extra,2.0,84
39,"""01aa6102-a054-4f25-a747-a39a4ea86769""",40,Brustan-N 60ml Syrup,4.0,Lofnac Gel 30g,3.0,69
40,"""01aa6102-a054-4f25-a747-a39a4ea86769""",41,Lonart 20/120mg Tablets x24,4.0,Gecrol 1 x 100ml Suspension,4.0,48
41,"""01aa6102-a054-4f25-a747-a39a4ea86769""",42,Zolat 200mg Tablets x2,4.0,Ytacan  25g Cream,5.0,37
42,"""01aa6102-a054-4f25-a747-a39a4ea86769""",43,Oceanic Cod Liver Oil 1000mg Capsules x30,4.0,Peace Tonic 200ml,6.0,30
43,"""01aa6102-a054-4f25-a747-a39a4ea86769""",44,Pyrantrin 15ml Suspension,4.0,Mist Mag Susp 100ml (De Shalom),2.0,107
44,"""01aa6102-a054-4f25-a747-a39a4ea86769""",45,Arenax Plus 20/120 x6 Tablets,4.0,Pyrantrin 15ml Suspension,4.0,44
45,"""01aa6102-a054-4f25-a747-a39a4ea86769""",46,Amatem 20/120mg x24 Softgels,4.0,Tydineal Cream 30g,2.0,104
46,"""01aa6102-a054-4f25-a747-a39a4ea86769""",47,Vamiron Capsule x30,4.0,Pentax Plus 4 Tablets x5,,
47,"""01aa6102-a054-4f25-a747-a39a4ea86769""",48,Gecrol 1 x 100ml Suspension,4.0,Famagyl 200mg Tablets x100,1.0,131
48,"""01aa6102-a054-4f25-a747-a39a4ea86769""",49,Gecrol Suspension 200ml,4.0,Panda Paracetamol 15ml Drops,10.0,12
49,"""01aa6102-a054-4f25-a747-a39a4ea86769""",50,Pain Go,4.0,Calcimax 100ml Suspension,,
50,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",1,Ibucap x20,5.0,Cenpain Night,1.0,38
51,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",2,Lofnac Tablets x10,5.0,Meyer's B-Complex Tabs x100,2.0,21
52,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",3,Nutravit Syrup 100ml,5.0,Gvither Plus Tablets,1.0,66
53,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",4,Chlorpheniramine 10mg/ml Injection x10,5.0,CAC 1000 Sandoz Effervescent Tablets,,
54,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",5,Fleming 1000mg x14,4.0,De-Deon's Syrup 150ml,1.0,45
55,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",6,Imodium 2mg Capsules x6,4.0,Bunto Blood Caps x100,,
56,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",7,Zentel 200mg Tablets x2,3.0,Orphesic x100 Tablets,2.0,26
57,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",8,Woodward's Gripe Water (Big Size) 150ml,3.0,De-Deon's Syrup 280ml,,
58,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",9,Actifed Tablets,3.0,Folic acid + B12 Tablets (Dr Meyer's) x100,,
59,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",10,Zinnat Tablets 500mg x10,3.0,Ibucap x20,5.0,1
60,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",11,K-Y Jelly 50g,3.0,Camosunate Children 150mg/50mg Tablets (1-6years) x6,,
61,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",12,Lincomman Capsules x12,3.0,M&B Paracetamol Syrup 1 X 60ml Bottle,,
62,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",13,Hovimax 250mg Tablets x6,3.0,Emzor Paracetamol 500mg Tablets x96,,
63,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",14,Ascomed Vitamin C 100mg (Chewable) Tablets x100,3.0,Ferrotogen Tonic 200ml,,
64,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",15,Lonart DS 80/480mg Tablets x6,2.0,Meprasil x20,,
65,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",16,Coflin Cough Linctus x100ml,2.0,Erythromicin 500mg tablets,,
66,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",17,Gynaecocid Tabs,2.0,Vasoprin 75mg Tablets x100,,
67,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",18,Coartem 20/120mg x6 Tablets,2.0,Plagerine 75mg Tabs x30,,
68,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",19,Lokmal QS Combi,2.0,Spartan C 100mg Tablets (White) x100,,
69,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",20,Wellwoman Original Tablets x30,2.0,Danacid Tablets x96,1.0,44
70,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",21,Meyer's B-Complex Tabs x100,2.0,Pocco Amlodipine 10mg Tablets x28,,
71,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",22,Lofnac Plus Tablets x10,2.0,Postinor 2,,
72,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",23,Neurovite Forte Tablet x100,2.0,Betawoman x30,,
73,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",24,Anorol 10x10 Tab,2.0,Fortified Procaine Penicillin -x10 Vials,1.0,69
74,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",25,Dermazin Cream 50g Cream,2.0,Ampiclox (Unbranded) 500mg Capsules x100,,
75,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",26,Orphesic x100 Tablets,2.0,Nature's Field Vitamin C 1000mg Tablets 1x10x10,2.0,29
76,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",27,Biocine 500mg Capsules x20,2.0,Ascomed Vitamin C 100mg (Chewable) Tablets x100,3.0,14
77,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",28,Rophegan Promethazine 100ml Syrup,2.0,Lisinopril 10mg (Pocco) Tablets  x28,,
78,"""01b73057-afc3-4096-a300-9f8b89fb20aa""",29,Nature's Field Vitamin C 1000mg Tablets 1x10x10,2.0,Ciprotab 500mg Tablets x10,,
