,location_id,rank,true product,true product's sold_count,predicted new product
0,"""01aa6102-a054-4f25-a747-a39a4ea86769""",1,Lofnac Tablets x10,40,Karaole Powder x10
1,"""01aa6102-a054-4f25-a747-a39a4ea86769""",2,Lofnac Plus Tablets x10,40,Tab Boska x20
2,"""01aa6102-a054-4f25-a747-a39a4ea86769""",3,Syrup Paracetamol 125mg/5ml (Emzor),20,10 Keys Bembe Herbal Mixture 
3,"""01aa6102-a054-4f25-a747-a39a4ea86769""",4,Amalar 500/25mg Tablets x3,20,Passion Powder
4,"""01aa6102-a054-4f25-a747-a39a4ea86769""",5,Solotone Tab x30,18,Tutolin Cough and Cold Syrup
5,"""01aa6102-a054-4f25-a747-a39a4ea86769""",6,Vamacap Capsules x20,18,7 Keys Herbal Mixture 200ml
6,"""01aa6102-a054-4f25-a747-a39a4ea86769""",7,Tab Paracetamol (M&B) 500mg x96,15,Maxiquine 100ml Syrup
7,"""01aa6102-a054-4f25-a747-a39a4ea86769""",8,Sudrex 500mg/30mg Tablets x20,14,Pentax Plus 4 Tablets x5
8,"""01aa6102-a054-4f25-a747-a39a4ea86769""",9,Swidar 500/25mg x3,12,Calcimax Tablets x30
9,"""01aa6102-a054-4f25-a747-a39a4ea86769""",10,Bonababe Syrup,12,Camosunate Children 150mg/50mg Tablets (1-6years) x6
10,"""01aa6102-a054-4f25-a747-a39a4ea86769""",11,Curefenac 100mg,11,NGC Cough Syrup (Child) x100ml
11,"""01aa6102-a054-4f25-a747-a39a4ea86769""",12,Panda Paracetamol 15ml Drops,10,Astyfer Tonic x200ml
12,"""01aa6102-a054-4f25-a747-a39a4ea86769""",13,Ibucap Forte Capsule x10,10,Bunto blood Tonic x300ml
13,"""01aa6102-a054-4f25-a747-a39a4ea86769""",14,Tutolin Children Cough Syrup x100ml,10,Ranferon-12 200ml Syrup
14,"""01aa6102-a054-4f25-a747-a39a4ea86769""",15,Vamirex Syrup 100ml,10,Methylated Spirit 100ml
15,"""01aa6102-a054-4f25-a747-a39a4ea86769""",16,Neoskin Triple Action Cream 30g,9,Tribotan Adult
16,"""01aa6102-a054-4f25-a747-a39a4ea86769""",17,Tuyil Paracetamol 500mg Tablets x96,9,Brustan-N 100mg/5ml Suspension x100ml
17,"""01aa6102-a054-4f25-a747-a39a4ea86769""",18,Yeast Tablets x100,8,Arthemed 80/480mg Tablets x6
18,"""01aa6102-a054-4f25-a747-a39a4ea86769""",19,Prednisolone 5mg Tablets,8,Postpill 150mcg Tablet
19,"""01aa6102-a054-4f25-a747-a39a4ea86769""",20,Curefenac 50mg,8,Glucose D Sachet x 10
20,"""01aa6102-a054-4f25-a747-a39a4ea86769""",21,M&B Paracetamol Syrup 1 X 60ml Bottle,7,Cencold Syrup Tuyil
21,"""01aa6102-a054-4f25-a747-a39a4ea86769""",22,Bunto Blood Tonic 100ml,7,Loratadine (Afrab) Syrup 60ml
22,"""01aa6102-a054-4f25-a747-a39a4ea86769""",23,Gestid 100ml Suspension,6,Vemfem Tablets x 10
23,"""01aa6102-a054-4f25-a747-a39a4ea86769""",24,Pyrantrin Tablet x6,6,Danacid Tablets x96
24,"""01aa6102-a054-4f25-a747-a39a4ea86769""",25,Babyrex Baby Mixture x60ml,6,Ibucap x20
25,"""01aa6102-a054-4f25-a747-a39a4ea86769""",26,Swifen Suspension 100ml,6,Maxiquine Tablets x 10
26,"""01aa6102-a054-4f25-a747-a39a4ea86769""",27,Grenocid Suspension,6,Cenpain Night
27,"""01aa6102-a054-4f25-a747-a39a4ea86769""",28,Visita Plus 30g Cream,6,Amatem 80/480 Softgel x6
28,"""01aa6102-a054-4f25-a747-a39a4ea86769""",29,Orheptal Tonic 100ml,6,Calcimax 100ml Suspension
